"YEAR","SEMESTER","NATIONALITY_NAME_ENG","U_G","UNIV_TYPE_NAME","UNIV_MASTERNAME_TH","UNIV_NAME_TH","CURR_NAME","LEV_NAME_TH","GENDER_NAME","All_FOREIGN_STD"
"2563","1","AFGHAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยรังสิต","มหาวิทยาลัยรังสิต","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาการทูตและการต่างประเทศ (หลักสูตรนานาชาติ) มหาวิทยาลัยรังสิต","ปริญญาโท","ชาย","1"
"2563","1","AFGHAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยสยาม","มหาวิทยาลัยสยาม","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศ มหาวิทยาลัยสยาม","ปริญญาตรี","ชาย","1"
"2563","1","AFGHAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยหาดใหญ่","มหาวิทยาลัยหาดใหญ่","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการธุรกิจระหว่างประเทศ   (หลักสูตรนานาชาติ) มหาวิทยาลัยหาดใหญ่","ปริญญาตรี","หญิง","1"
"2563","1","AFGHAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยอัสสัมชัญ","มหาวิทยาลัยอัสสัมชัญ","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์   (หลักสูตรนานาชาติ) มหาวิทยาลัยอัสสัมชัญ","ปริญญาตรี","ชาย","1"
"2563","1","AFGHAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยเทคโนโลยีราชมงคล","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย  วิทยาเขตสงขลา","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษเพื่อการสื่อสาร   มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","ปริญญาตรี","ชาย","1"
"2563","1","AFGHAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยเทคโนโลยีราชมงคล","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตตรัง","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการนวัตกรรมทางธุรกิจ มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย","ปริญญาตรี","หญิง","1"
"2563","1","AFGHAN","สถาบันอุดมศึกษารัฐ","มหาวิทยาลัยรัฐในกำกับ","มหาวิทยาลัยธรรมศาสตร์","มหาวิทยาลัยธรรมศาสตร์","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานโยบายสังคมและการพัฒนา (หลักสูตรนานาชาติ)  มหาวิทยาลัยธรรมศาสตร์","ปริญญาตรี","หญิง","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","หลักสูตรบริหารธุรกิจมหาบัณฑิต  (หลักสูตรนานาชาติ)  มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","ปริญญาโท","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาบริหารธุรกิจ   (หลักสูตรนานาชาติ)  มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","ปริญญาตรี","ชาย","1"
"2563","1","AMERICAN","สถาบันอุดมศึกษาเอกชน","มหาวิทยาลัยเอกชน","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการ (หลักสูตรนานาชาติ)     มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย)","ปริญญาตรี","ชาย","1"
